PluName=?? ???? ???? ???? ????? ??????,LFCode=1206,Code=5114,BarCode=101,Rebate=0,UnitPrice=2750,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=20
PluName=???? ????? ????? ?????? ???????,LFCode=6208,Code=6208,BarCode=101,Rebate=0,UnitPrice=4900,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=21
PluName=???? ?????? ???? ?????? ???????,LFCode=208,Code=5441,BarCode=101,Rebate=0,UnitPrice=4600,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=22
PluName=????? ???? ?????? ???? ???????###,LFCode=82,Code=2196,BarCode=101,Rebate=0,UnitPrice=815,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=23
PluName=????? ????? ???????,LFCode=29082,Code=6666,BarCode=101,Rebate=0,UnitPrice=1295000,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=24
PluName=????? ???? ???? ??????,LFCode=10722,Code=5721,BarCode=101,Rebate=0,UnitPrice=1265,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=25
PluName=????? ????  ???????,LFCode=722,Code=6407,BarCode=101,Rebate=0,UnitPrice=395,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=26
PluName=???? ????? ???? ???????,LFCode=10890,Code=6421,BarCode=101,Rebate=0,UnitPrice=3740,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=27
PluName=?????? ?????? ????,LFCode=890,Code=8181,BarCode=101,Rebate=0,UnitPrice=660,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=28
PluName=????? ????? ???? ??? ?????? ???????,LFCode=410,Code=5983,BarCode=101,Rebate=0,UnitPrice=1675,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=29
PluName=???? ???? ???? ????,LFCode=10410,Code=4598,BarCode=101,Rebate=0,UnitPrice=335,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=30
