0;8;14
جبنه عكاوي مصري;46;1.115;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه شلل سوري;47;1.955;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه شلل هنغاري;48;2.75;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه حلوم خفيف الدسم;49;4.5;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه حلوم مع حبة البركة;50;2.875;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه نابلس خفيف الدسم;51;4.51;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه كويتي ملح خفيف;52;2.3;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه وفره;53;2.32;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه امراتي قليل الدسم;54;3.06;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه امنتال;55;4.6;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنه تركي مدور;56;4.485;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون كلماتا جامبو;57;1.725;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون كلماتا وسط;58;1.63;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون امريكي;59;1.48;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
كلوسال يوناني جامبوا;60;1.38;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون جرجر;61;1.1;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
شمندر;62;0.96;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
